название;тип_лофт;телефон;сайт;ссылка
Loft blackout (Лофт блэкаут). Просторный лофт;Лофт, вечеринка, 150 м², 50 человек;;N/A;https://www.reveltime.ru/venue/291984?eventtype=vecherinka
Loft Chicago (Лофт Чикаго). Светлый лофт с высокими потолками;Лофт, вечеринка, 220 м², 150 человек;;N/A;https://www.reveltime.ru/venue/2522957?eventtype=vecherinka
Loft City (Лофт Сити). Многофункциональное пространство;Лофт, вечеринка, 135 м², 30 человек;;N/A;https://www.reveltime.ru/venue/3080013?eventtype=vecherinka
Loft Detroit Лофт на первом этаже старинной фабрики;Лофт, вечеринка, 63 м², 25 человек;;N/A;https://www.reveltime.ru/venue/3277120?eventtype=vecherinka
Loft Far4, Лофт Фарфор (Лофт Фар4);Лофт, вечеринка, 120 м², 100 человек;+79346642952;N/A;https://www.reveltime.ru/venue/3111224?eventtype=vecherinka
Loft Far4, Лофт Фарфор (Лофт Фар4). Лофт80кв.м;Лофт, вечеринка, 80 м², 50 человек;+79584973975;N/A;https://www.reveltime.ru/venue/3111447?eventtype=vecherinka
Loft for Friends. Авторский лофт с верандой;Лофт, вечеринка, 250 м², 120 человек;;N/A;https://www.reveltime.ru/venue/1502093?eventtype=vecherinka
Loft GL (Лофт ДжиЭл);Лофт, вечеринка, 110 м², 25 человек;;N/A;https://www.reveltime.ru/venue/429944?eventtype=vecherinka
loft GNEZDO (Лофт Гнездо);Лофт, вечеринка, 65 м², 25 человек;+79386989873;N/A;https://www.reveltime.ru/venue/7325477?eventtype=vecherinka
loft GNEZDO (Лофт Гнездо). Двухуровневый лофт;Лофт, вечеринка, 35 м², 15 человек;+79019397046;N/A;https://www.reveltime.ru/venue/7623813?eventtype=vecherinka
